    energy       Au-d_up     Au-d_down
 -1.459704  7.251393e+00 -6.852809e+00
 -1.393704  6.674628e+00 -6.746135e+00
 -1.327704  6.857609e+00 -6.565348e+00
 -1.261704  3.549759e+00 -2.864718e+00
 -1.195704  8.808751e-01 -7.862549e-01
 -1.129704  8.491823e-01 -8.211955e-01
 -1.063704  2.891249e-01 -1.571235e-01
 -0.997704 -2.987272e-01  3.236308e-01
 -0.931704  3.441144e-01 -6.879521e-01
 -0.865704  3.944936e+00 -4.901098e+00
 -0.799704  9.281660e+00 -1.015699e+01
 -0.733704  1.041166e+01 -9.855512e+00
 -0.667704  5.530296e+00 -4.407191e+00
 -0.602704  1.839313e+00 -1.501573e+00
 -0.536704  8.267780e-01 -7.396110e-01
 -0.470704  4.344211e-01 -4.885052e-01
 -0.404704  2.343850e+00 -2.897677e+00
 -0.338704  6.546628e+00 -6.909977e+00
 -0.272704  6.481144e+00 -6.056000e+00
 -0.206704  3.229659e+00 -2.869637e+00
 -0.140704  1.209550e+00 -1.014120e+00
 -0.074704  4.288743e-01 -4.478634e-01
 -0.008704  8.951771e-01 -9.514166e-01
  0.057296  9.776497e-01 -9.054338e-01
  0.123296  5.714243e-01 -5.455319e-01
  0.189296  4.843400e-01 -4.772332e-01
  0.255296  1.008829e+00 -1.380340e+00
  0.321296  4.491444e+00 -5.336829e+00
  0.387296  7.979124e+00 -7.988706e+00
  0.453296  6.244593e+00 -5.615395e+00
  0.519296  3.659050e+00 -3.371950e+00
  0.585296  2.611149e+00 -2.460464e+00
  0.651296  1.676479e+00 -1.524575e+00
  0.717296  6.284274e-01 -4.971672e-01
  0.783296 -6.836648e-02 -8.326320e-03
  0.849296  1.655800e+00 -2.210363e+00
  0.915296  5.585208e+00 -5.898001e+00
  0.981296  5.157407e+00 -4.570101e+00
  1.046296  1.154685e+00 -7.780876e-01
  1.112296  1.342417e-01 -2.456778e-01
  1.178296  1.051947e+00 -1.110305e+00
  1.244296  1.084043e+00 -9.734874e-01
  1.310296  2.790109e-01 -2.062641e-01
  1.376296  1.449856e-01 -2.714068e-01
  1.442296  1.351260e+00 -1.628619e+00
  1.508296  2.492379e+00 -2.558279e+00
  1.574296  2.915369e+00 -2.938481e+00
  1.640296  4.322760e+00 -4.434010e+00
  1.706296  4.820025e+00 -4.761574e+00
  1.772296  3.606785e+00 -3.524155e+00
  1.838296  2.379627e+00 -2.204366e+00
  1.904296  8.609708e-01 -7.053511e-01
  1.970296  1.380053e-01 -1.622203e-01
  2.036296  5.832914e-01 -6.533961e-01
  2.102296  9.153950e-01 -8.910208e-01
  2.168296  8.222108e-01 -9.977470e-01
  2.234296  2.311072e+00 -2.768146e+00
  2.300296  3.624735e+00 -3.571561e+00
  2.366296  1.833858e+00 -1.554941e+00
  2.432296  7.620097e-01 -7.724821e-01
  2.498296  1.072851e+00 -1.065547e+00
  2.564296  1.098226e+00 -1.084876e+00
  2.630296  1.205241e+00 -1.218603e+00
  2.696296  9.063057e-01 -8.412384e-01
  2.761296  4.987146e-01 -5.386814e-01
  2.827296  8.708509e-01 -9.101392e-01
  2.893296  8.451400e-01 -8.174110e-01
  2.959296  1.468083e+00 -1.649278e+00
