    energy       Pt-d_up     Pt-d_down
 -1.764078  2.671594e+01 -4.113541e+01
 -1.698078  2.964082e+01 -4.052155e+01
 -1.632078  3.037150e+01 -2.660956e+01
 -1.566078  2.890607e+01 -2.328982e+01
 -1.500078  2.878537e+01 -3.315888e+01
 -1.434078  3.143802e+01 -3.606773e+01
 -1.368078  3.779704e+01 -2.990040e+01
 -1.302078  3.051519e+01 -2.506449e+01
 -1.236078  1.670348e+01 -3.390389e+01
 -1.170078  1.721300e+01 -3.725885e+01
 -1.104078  3.170524e+01 -2.374347e+01
 -1.038078  4.423380e+01 -1.407616e+01
 -0.972078  3.976602e+01 -1.940200e+01
 -0.906078  3.101898e+01 -3.476625e+01
 -0.840078  3.131227e+01 -4.277620e+01
 -0.774078  3.165881e+01 -4.015810e+01
 -0.708078  2.917260e+01 -3.217456e+01
 -0.642078  2.398211e+01 -2.675685e+01
 -0.576078  3.033260e+01 -2.835365e+01
 -0.510078  4.242268e+01 -2.794669e+01
 -0.444078  4.074601e+01 -2.252390e+01
 -0.378078  3.413574e+01 -3.245541e+01
 -0.312078  3.516837e+01 -4.387723e+01
 -0.246078  3.754770e+01 -3.827000e+01
 -0.180078  4.193290e+01 -2.978020e+01
 -0.114078  5.313380e+01 -3.123953e+01
 -0.048078  5.932570e+01 -3.387690e+01
  0.017922  4.492829e+01 -3.579030e+01
  0.083922  2.191449e+01 -4.859700e+01
  0.149922  2.138118e+01 -6.124760e+01
  0.215922  2.987825e+01 -5.353110e+01
  0.281922  1.840710e+01 -2.723096e+01
  0.347922  8.958470e+00 -1.714084e+01
  0.412922  8.984819e+00 -2.864200e+01
  0.478922  6.075292e+00 -2.790546e+01
  0.544922  3.994298e+00 -1.371113e+01
  0.610922  3.516944e+00 -6.495069e+00
  0.676922  1.439872e+00 -4.498258e+00
  0.742922  1.846947e+00 -4.185567e+00
  0.808922  5.339023e+00 -2.046134e+00
  0.874922  6.089540e+00 -1.872394e+00
  0.940922  3.978109e+00 -5.011582e+00
  1.006922  1.740692e+00 -4.528145e+00
  1.072922  2.825714e+00 -3.207552e+00
  1.138922  4.239369e+00 -3.102174e+00
  1.204922  4.000210e+00 -2.580882e+00
  1.270922  2.811895e+00 -3.885701e+00
  1.336922  3.110865e+00 -4.126619e+00
  1.402922  6.358220e+00 -3.702748e+00
  1.468922  8.835590e+00 -4.410188e+00
  1.534922  6.556828e+00 -6.418425e+00
  1.600922  2.028418e+00 -7.245430e+00
  1.666922  2.138579e+00 -6.896365e+00
  1.732922  2.648792e+00 -4.350729e+00
  1.798922  7.431576e-01 -2.790876e+00
  1.864922  7.287784e-01 -1.901401e+00
  1.930922  2.848826e+00 -7.444680e-01
  1.996922  3.316336e+00 -1.103869e+00
  2.062922  1.894334e+00 -2.882486e+00
  2.128922  3.277898e+00 -3.205088e+00
  2.194922  6.000490e+00 -2.369593e+00
  2.260922  8.434450e+00 -3.428828e+00
  2.326922  5.687910e+00 -4.582910e+00
  2.392922  1.532505e+00 -7.490960e+00
  2.458922  7.342907e-01 -7.039300e+00
  2.524922  4.451821e-01 -2.851612e+00
  2.590922  1.367696e+00 -7.279865e-01
  2.656922  3.398376e+00 -3.104356e-01
  2.722922  4.272811e+00 -1.428400e+00
  2.788922  3.979720e+00 -3.430387e+00
  2.854922  2.512626e+00 -4.659297e+00
  2.920922  1.280020e+00 -4.337545e+00
  2.986922  1.730858e+00 -2.334285e+00
  3.052922  2.054708e+00 -1.156761e+00
  3.118922  1.508583e+00 -2.106260e+00
  3.184922  1.795623e+00 -2.251666e+00
  3.250922  1.817522e+00 -1.838145e+00
  3.316922  2.765019e+00 -1.920500e+00
  3.382922  5.790269e+00 -1.265059e+00
  3.448922  6.302140e+00 -2.834697e+00
  3.514922  3.022154e+00 -6.121210e+00
  3.580922  1.934571e+00 -6.225420e+00
  3.646922  2.269338e+00 -3.408907e+00
  3.712922  1.956081e+00 -2.094034e+00
  3.778922  1.449129e+00 -1.983379e+00
  3.844922  7.630220e-01 -1.932167e+00
  3.910922  4.643137e-01 -1.494405e+00
  3.976922  1.133156e+00 -6.725301e-01
  4.042922  1.364113e+00 -8.634930e-01
  4.108922  1.569600e+00 -1.340720e+00
  4.174922  2.921261e+00 -9.582410e-01
  4.240922  3.114789e+00 -1.500934e+00
  4.306922  1.692145e+00 -3.360500e+00
  4.372922  1.391102e+00 -3.046797e+00
  4.438922  1.918454e+00 -1.631172e+00
  4.504922  2.050563e+00 -1.802871e+00
  4.570922  1.558720e+00 -2.222822e+00
  4.636922  1.216024e+00 -1.928045e+00
  4.701922  1.935901e+00 -1.328960e+00
  4.767922  2.453943e+00 -1.369468e+00
  4.833922  1.437555e+00 -2.404244e+00
  4.899922  8.064428e-01 -2.198055e+00
