   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
-12.04005   0.00000     0.00000     0.00000       0.00000
-12.01502   0.00000     0.00000     0.00000       0.00000
-11.98999   0.00000     0.00000     0.00000       0.00000
-11.96496   0.00000     0.00000     0.00000       0.00000
-11.93992   0.00000     0.00000     0.00000       0.00000
-11.91489   0.00000     0.00000     0.00000       0.00000
-11.88986   0.00000     0.00000     0.00000       0.00000
-11.86483   0.00000     0.00000     0.00000       0.00000
-11.83980   0.00000     0.00000     0.00000       0.00000
-11.81477   0.00000     0.00000     0.00000       0.00000
-11.78974   0.00000     0.00000     0.00000       0.00000
-11.76471   0.00000     0.00000     0.00000       0.00000
-11.73967   0.00000     0.00000     0.00000       0.00000
-11.71464   0.00000     0.00000     0.00000       0.00000
-11.68961   0.00000     0.00000     0.00000       0.00000
-11.66458   0.00000     0.00000     0.00000       0.00000
-11.63955   0.00000     0.00000     0.00000       0.00000
-11.61452   0.00000     0.00000     0.00000       0.00000
-11.58949   0.00000     0.00000     0.00000       0.00000
-11.56446   0.00000     0.00000     0.00000       0.00000
-11.53942   0.00000     0.00000     0.00000       0.00000
-11.51439   0.00000     0.00000     0.00000       0.00000
-11.48936   0.00000     0.00000     0.00000       0.00000
-11.46433   0.00000     0.00000     0.00000       0.00000
-11.43930   0.00000     0.00000     0.00000       0.00000
-11.41427   0.00000     0.00000     0.00000       0.00000
-11.38924   0.00000     0.00000     0.00000       0.00000
-11.36421   0.00000     0.00000     0.00000       0.00000
-11.33917   0.00000     0.00000     0.00000       0.00000
-11.31414   0.00000     0.00000     0.00000       0.00000
-11.28911   0.00000     0.00000     0.00000       0.00000
-11.26408   0.00000     0.00000     0.00000       0.00000
-11.23905   0.00000     0.00000     0.00000       0.00000
-11.21402   0.00000     0.00000     0.00000       0.00000
-11.18899   0.00000     0.00000     0.00000       0.00000
-11.16395   0.00000     0.00000     0.00000       0.00000
-11.13892   0.00000     0.00000     0.00000       0.00000
-11.11389   0.00000     0.00000     0.00000       0.00000
-11.08886   0.00000     0.00000     0.00000       0.00000
-11.06383   0.00000     0.00000     0.00000       0.00000
-11.03880   0.00000     0.00000     0.00000       0.00000
-11.01377   0.00000     0.00000     0.00000       0.00000
-10.98874   0.00000     0.00000     0.00000       0.00000
-10.96370   0.00000     0.00000     0.00000       0.00000
-10.93867   0.00000     0.00000     0.00000       0.00000
-10.91364   0.00000     0.00000     0.00000       0.00000
-10.88861   0.00000     0.00000     0.00000       0.00000
-10.86358   0.00000     0.00000     0.00000       0.00000
-10.83855   0.00000     0.00000     0.00014      -0.00013
-10.81352   0.00000     0.00000     0.00067      -0.00067
-10.78849   0.00002    -0.00002     0.00265      -0.00265
-10.76345   0.00005    -0.00005     0.00937      -0.00932
-10.73842   0.00016    -0.00016     0.02916      -0.02904
-10.71339   0.00045    -0.00045     0.08029      -0.07999
-10.68836   0.00110    -0.00110     0.19522      -0.19459
-10.66333   0.00237    -0.00236     0.41925      -0.41815
-10.63830   0.00451    -0.00447     0.79536      -0.79362
-10.61327   0.00755    -0.00751     1.33288      -1.33065
-10.58824   0.01118    -0.01111     1.97310      -1.97077
-10.56320   0.01462    -0.01454     2.58016      -2.57837
-10.53817   0.01690    -0.01680     2.98049      -2.97991
-10.51314   0.01723    -0.01716     3.04138      -3.04232
-10.48811   0.01554    -0.01547     2.74154      -2.74374
-10.46308   0.01236    -0.01232     2.18303      -2.18589
-10.43805   0.00870    -0.00867     1.53559      -1.53835
-10.41302   0.00541    -0.00540     0.95415      -0.95635
-10.38798   0.00297    -0.00296     0.52373      -0.52518
-10.36295   0.00143    -0.00143     0.25393      -0.25475
-10.33792   0.00062    -0.00062     0.10877      -0.10916
-10.31289   0.00023    -0.00023     0.04115      -0.04133
-10.28786   0.00008    -0.00008     0.01375      -0.01382
-10.26283   0.00002    -0.00002     0.00403      -0.00408
-10.23780   0.00000     0.00000     0.00107      -0.00108
-10.21277   0.00000     0.00000     0.00025      -0.00026
-10.18773   0.00000     0.00000     0.00003      -0.00003
-10.16270   0.00000     0.00000     0.00000       0.00000
-10.13767   0.00000     0.00000     0.00000       0.00000
-10.11264   0.00000     0.00000     0.00000       0.00000
-10.08761   0.00000     0.00000     0.00000       0.00000
-10.06258   0.00000     0.00000     0.00000       0.00000
-10.03755   0.00000     0.00000     0.00000       0.00000
-10.01252   0.00000     0.00000     0.00000       0.00000
 -9.98748   0.00000     0.00000     0.00000       0.00000
 -9.96245   0.00000     0.00000     0.00000       0.00000
 -9.93742   0.00000     0.00000     0.00000       0.00000
 -9.91239   0.00000     0.00000     0.00000       0.00000
 -9.88736   0.00000     0.00000     0.00000       0.00000
 -9.86233   0.00000     0.00000     0.00000       0.00000
 -9.83730   0.00000     0.00000     0.00000       0.00000
 -9.81227   0.00000     0.00000     0.00000       0.00000
 -9.78723   0.00000     0.00000     0.00000       0.00000
 -9.76220   0.00000     0.00000     0.00000       0.00000
 -9.73717   0.00000     0.00000     0.00000       0.00000
 -9.71214   0.00000     0.00000     0.00000       0.00000
 -9.68711   0.00000     0.00000     0.00000       0.00000
 -9.66208   0.00000     0.00000     0.00000       0.00000
 -9.63705   0.00000     0.00000     0.00000       0.00000
